Theta(deg)	Reflectivity
3.2353	1.7502094E-002
3.2623	2.1926712E-002
3.2894	2.3096960E-002
3.3165	2.0491913E-002
3.3435	1.8625829E-002
3.3706	2.2579515E-002
3.3976	3.1620655E-002
3.4247	3.8692106E-002
3.4517	3.8019273E-002
3.4788	3.3487655E-002
3.5058	3.7566286E-002
3.5329	5.7730548E-002
3.5600	8.3519004E-002
3.5870	9.4923422E-002
3.6141	9.2544809E-002
3.6411	1.2118911E-001
3.6682	2.2772440E-001
3.6952	3.7584165E-001
3.7223	4.8731366E-001
3.7494	5.3778034E-001
3.7764	5.4539979E-001
3.8035	5.2922142E-001
3.8305	4.9914822E-001
3.8576	4.5926797E-001
3.8846	4.1090316E-001
3.9117	3.5451630E-001
3.9387	2.9128087E-001
3.9658	2.2508073E-001
3.9929	1.6392738E-001
4.0199	1.1772216E-001
4.0470	9.0807512E-002
4.0740	7.6926410E-002
4.1011	6.5277286E-002
4.1281	5.1009785E-002
4.1552	3.7329949E-002
4.1823	2.9213686E-002
4.2093	2.7231015E-002
4.2364	2.7271193E-002
4.2634	2.5086354E-002
4.2905	2.0102186E-002
4.3175	1.5032309E-002
4.3446	1.2621140E-002
4.3716	1.3000175E-002
4.3987	1.3929586E-002
4.4258	1.3225893E-002
4.4528	1.0726052E-002
4.4799	8.0862092E-003
4.5069	6.9786804E-003
4.5340	7.5356681E-003
4.5610	8.4163975E-003
4.5881	8.2225949E-003
4.6152	6.7743668E-003
4.6422	5.1130871E-003
4.6693	4.4011651E-003
4.6963	4.8445812E-003
4.7234	5.6009893E-003
4.7504	5.6578568E-003
4.7775	4.7696293E-003
4.8045	3.5982025E-003
4.8316	3.0229429E-003
4.8587	3.3204011E-003
4.8857	3.9622481E-003
4.9128	4.1647502E-003
4.9398	3.6221773E-003
4.9669	2.7419587E-003
4.9939	2.2178644E-003
5.0210	2.3800172E-003
5.0481	2.9194213E-003
5.0751	3.2124307E-003
5.1022	2.9087060E-003
5.1292	2.2284791E-003
5.1563	1.7264351E-003
5.1833	1.7687216E-003
5.2104	2.2117682E-003
5.2374	2.5605562E-003
5.2645	2.4363094E-003
5.2916	1.9126176E-003
5.3186	1.4253703E-003
5.3457	1.3618225E-003
5.3727	1.7108024E-003
5.3998	2.0899263E-003
5.4268	2.1076943E-003
5.4539	1.7183794E-003
5.4810	1.2496718E-003
5.5080	1.0932843E-003
5.5351	1.3473963E-003
5.5621	1.7360779E-003
5.5892	1.8706004E-003
5.6162	1.6052891E-003
5.6433	1.1634084E-003
5.6703	9.2623115E-004
5.6974	1.0835165E-003
5.7245	1.4641498E-003
5.7515	1.6972794E-003
5.7786	1.5529452E-003
5.8056	1.1490838E-003
5.8327	8.4135827E-004
5.8597	8.9751673E-004
5.8868	1.2534900E-003
5.9139	1.5720003E-003
5.9409	1.5508675E-003
5.9680	1.1994194E-003
5.9950	8.3117001E-004
6.0221	7.8045874E-004
6.0491	1.0956528E-003
6.0762	1.4903849E-003
6.1032	1.6012371E-003
6.1303	1.3203735E-003
6.1574	9.0075756E-004
6.1844	7.3336693E-004
6.2115	9.9034479E-004
6.2385	1.4581613E-003
6.2656	1.7211268E-003
6.2926	1.5387338E-003
6.3197	1.0763201E-003
6.3468	7.7256560E-004
6.3738	9.4702811E-004
6.4009	1.4938435E-003
6.4279	1.9537217E-003
6.4550	1.9202916E-003
6.4820	1.4256552E-003
6.5091	9.4756240E-004
6.5361	1.0002706E-003
6.5632	1.6515061E-003
6.5903	2.4119448E-003
6.6173	2.6411284E-003
6.6444	2.1410983E-003
6.6714	1.4067596E-003
6.6985	1.2547330E-003
6.7255	2.0873772E-003
6.7526	3.4348324E-003
6.7797	4.2605796E-003
6.8067	3.8725848E-003
6.8338	2.6896647E-003
6.8608	2.1192583E-003
6.8879	3.4470351E-003
6.9149	6.5245433E-003
6.9420	9.4848312E-003
6.9690	1.0090793E-002
6.9961	8.0224043E-003
7.0232	6.5390305E-003
7.0502	1.1866976E-002
7.0773	2.9565483E-002
7.1043	5.9692197E-002
7.1314	9.5137745E-002
7.1584	1.2524268E-001
7.1855	1.4148511E-001
7.2126	1.4046803E-001
7.2396	1.2364435E-001
7.2667	9.5865704E-002
7.2937	6.4010553E-002
7.3208	3.5484124E-002
7.3478	1.5865352E-002
7.3749	6.6672089E-003
7.4020	5.1009348E-003
7.4290	6.4100008E-003
7.4561	6.9244006E-003
7.4831	5.5678054E-003
7.5102	3.3131917E-003
7.5372	1.6351782E-003
7.5643	1.2352675E-003
7.5913	1.7320859E-003
7.6184	2.2354359E-003
7.6455	2.1405048E-003
7.6725	1.4995453E-003
7.6996	8.0984563E-004
7.7266	5.1844370E-004
7.7537	6.7859754E-004
7.7807	9.8692137E-004
7.8078	1.0930847E-003
7.8349	8.8572624E-004
7.8619	5.3516723E-004
7.8890	3.0503064E-004
7.9160	3.2313447E-004
7.9431	4.9923162E-004
7.9701	6.3203962E-004
7.9972	5.8948499E-004
8.0242	4.0557492E-004
8.0513	2.2845800E-004
8.0784	1.8305969E-004
8.1054	2.7134721E-004
8.1325	3.8632221E-004
8.1595	4.1370932E-004
8.1866	3.2676000E-004
8.2136	1.9778605E-004
8.2407	1.2704483E-004
8.2678	1.5640163E-004
8.2948	2.4094655E-004
8.3219	2.9529975E-004
8.3489	2.6848612E-004
