Theta(deg)	Reflectivity
3.2213	1.3869586E-002
3.2516	1.3091265E-002
3.2820	1.2206691E-002
3.3123	1.1870975E-002
3.3426	1.2201598E-002
3.3729	1.2596001E-002
3.4033	1.2372904E-002
3.4336	1.1557098E-002
3.4639	1.0912579E-002
3.4943	1.1133455E-002
3.5246	1.2035027E-002
3.5549	1.2675833E-002
3.5852	1.2360495E-002
3.6156	1.1460195E-002
3.6459	1.1120385E-002
3.6762	1.2056937E-002
3.7065	1.3688602E-002
3.7369	1.4628007E-002
3.7672	1.4152396E-002
3.7975	1.3125222E-002
3.8278	1.3292016E-002
3.8582	1.5460762E-002
3.8885	1.8417774E-002
3.9188	1.9958505E-002
3.9492	1.9237135E-002
3.9795	1.8060504E-002
4.0098	1.9494506E-002
4.0401	2.4669115E-002
4.0705	3.0960545E-002
4.1008	3.4140877E-002
4.1311	3.3074003E-002
4.1614	3.2425523E-002
4.1918	3.9574929E-002
4.2221	5.6576543E-002
4.2524	7.5329900E-002
4.2828	8.4607810E-002
4.3131	8.6924009E-002
4.3434	1.1107886E-001
4.3737	1.9016707E-001
4.4041	3.0713946E-001
4.4344	4.0515733E-001
4.4647	4.5617869E-001
4.4950	4.6802491E-001
4.5254	4.5592088E-001
4.5557	4.2986831E-001
4.5860	3.9494309E-001
4.6163	3.5360214E-001
4.6467	3.0730829E-001
4.6770	2.5770459E-001
4.7073	2.0745030E-001
4.7377	1.6067536E-001
4.7680	1.2230945E-001
4.7983	9.5508553E-002
4.8286	7.8910954E-002
4.8590	6.7341462E-002
4.8893	5.6157298E-002
4.9196	4.4556938E-002
4.9499	3.4807771E-002
4.9803	2.9035877E-002
5.0106	2.6862120E-002
5.0409	2.5794758E-002
5.0713	2.3519525E-002
5.1016	1.9686680E-002
5.1319	1.5745141E-002
5.1622	1.3345552E-002
5.1926	1.2857798E-002
5.2229	1.3190791E-002
5.2532	1.2882850E-002
5.2835	1.1353174E-002
5.3139	9.2359092E-003
5.3442	7.6750489E-003
5.3745	7.2966609E-003
5.4048	7.7336840E-003
5.4352	8.0380812E-003
5.4655	7.5297914E-003
5.4958	6.3219173E-003
5.5262	5.1348237E-003
5.5565	4.6357275E-003
5.5868	4.8854076E-003
5.6171	5.3427387E-003
5.6475	5.3671957E-003
5.6778	4.7534276E-003
5.7081	3.8591984E-003
5.7384	3.2616558E-003
5.7688	3.2615769E-003
5.7991	3.6556176E-003
5.8294	3.9417055E-003
5.8598	3.7547299E-003
5.8901	3.1548650E-003
5.9204	2.5467537E-003
5.9507	2.3235697E-003
5.9811	2.5440955E-003
6.0114	2.9044349E-003
6.0417	3.0102429E-003
6.0720	2.7051999E-003
6.1024	2.1843980E-003
6.1327	1.8141065E-003
6.1630	1.8231914E-003
6.1933	2.1209430E-003
6.2237	2.3882729E-003
6.2540	2.3492007E-003
6.2843	1.9951935E-003
6.3147	1.5793234E-003
6.3450	1.3977078E-003
6.3753	1.5457732E-003
6.4056	1.8472429E-003
6.4360	2.0089096E-003
6.4663	1.8646365E-003
6.4966	1.5065063E-003
6.5269	1.2008704E-003
6.5573	1.1655581E-003
6.5876	1.3927062E-003
6.6179	1.6606610E-003
6.6483	1.7216324E-003
6.6786	1.5046332E-003
6.7089	1.1693086E-003
6.7392	9.7102724E-004
6.7696	1.0500560E-003
6.7999	1.3181788E-003
6.8302	1.5342643E-003
6.8605	1.5039084E-003
6.8909	1.2380128E-003
6.9212	9.4247540E-004
6.9515	8.4763608E-004
6.9819	1.0192390E-003
7.0122	1.3048034E-003
7.0425	1.4587739E-003
7.0728	1.3443982E-003
7.1032	1.0465048E-003
7.1335	8.0324616E-004
7.1638	8.1162847E-004
7.1941	1.0642031E-003
7.2245	1.3527144E-003
7.2548	1.4361730E-003
7.2851	1.2401161E-003
7.3154	9.2141936E-004
7.3458	7.4438012E-004
7.3761	8.6548878E-004
7.4064	1.1993858E-003
7.4368	1.4817925E-003
7.4671	1.4825703E-003
7.4974	1.1987165E-003
7.5277	8.6748757E-004
7.5581	7.8085088E-004
7.5884	1.0445064E-003
7.6187	1.4779373E-003
7.6490	1.7483316E-003
7.6794	1.6409005E-003
7.7097	1.2478088E-003
7.7400	9.1535470E-004
7.7704	9.7490393E-004
7.8007	1.4604540E-003
7.8310	2.0502291E-003
7.8613	2.3053153E-003
7.8917	2.0314439E-003
7.9220	1.4761792E-003
7.9523	1.1785297E-003
7.9826	1.5493714E-003
8.0130	2.4974409E-003
8.0433	3.4274403E-003
8.0736	3.6748636E-003
8.1039	3.0772090E-003
8.1343	2.2344212E-003
8.1646	2.1782569E-003
8.1949	3.5859763E-003
8.2253	6.0857558E-003
8.2556	8.2921060E-003
8.2859	8.7547917E-003
8.3162	7.3394775E-003
8.3466	6.1728549E-003
8.3769	9.3265930E-003
8.4072	2.0828485E-002
8.4375	4.1709598E-002
8.4679	6.8275549E-002
8.4982	9.3484737E-002
8.5285	1.1042564E-001
8.5589	1.1517207E-001
8.5892	1.0743046E-001
8.6195	8.9768991E-002
8.6498	6.6554263E-002
8.6802	4.2896293E-002
8.7105	2.3447014E-002
8.7408	1.1011388E-002
8.7711	5.6454861E-003
8.8015	4.9951901E-003
8.8318	5.8980994E-003
8.8621	6.0920585E-003
8.8924	4.9615148E-003
8.9228	3.1692828E-003
8.9531	1.7315553E-003
8.9834	1.2152815E-003
9.0138	1.4719527E-003
