Theta(deg)	Reflectivity
3.2384	2.6942911E-002
3.2730	2.5977585E-002
3.3075	2.5062336E-002
3.3421	2.4215983E-002
3.3767	2.3497669E-002
3.4113	2.2640405E-002
3.4459	2.1484328E-002
3.4805	2.0355763E-002
3.5151	1.9246936E-002
3.5497	1.8193001E-002
3.5843	1.7314263E-002
3.6189	1.6649274E-002
3.6535	1.6084107E-002
3.6880	1.5458900E-002
3.7226	1.4735764E-002
3.7572	1.4050663E-002
3.7918	1.3568914E-002
3.8264	1.3302648E-002
3.8610	1.3078929E-002
3.8956	1.2711455E-002
3.9302	1.2197377E-002
3.9648	1.1737728E-002
3.9994	1.1537217E-002
4.0340	1.1585418E-002
4.0685	1.1643936E-002
4.1031	1.1474960E-002
4.1377	1.1093371E-002
4.1723	1.0778741E-002
4.2069	1.0810286E-002
4.2415	1.1175195E-002
4.2761	1.1547784E-002
4.3107	1.1592165E-002
4.3453	1.1311804E-002
4.3799	1.1091778E-002
4.4144	1.1356977E-002
4.4490	1.2140534E-002
4.4836	1.2997558E-002
4.5182	1.3392736E-002
4.5528	1.3245587E-002
4.5874	1.3096594E-002
4.6220	1.3670905E-002
4.6566	1.5177083E-002
4.6912	1.6997503E-002
4.7258	1.8182607E-002
4.7604	1.8380798E-002
4.7949	1.8363517E-002
4.8295	1.9539649E-002
4.8641	2.2677643E-002
4.8987	2.6957588E-002
4.9333	3.0448396E-002
4.9679	3.1934936E-002
5.0025	3.2618672E-002
5.0371	3.5929129E-002
5.0717	4.4836678E-002
5.1063	5.8418468E-002
5.1409	7.1554489E-002
5.1754	7.9966523E-002
5.2100	8.8407621E-002
5.2446	1.1456761E-001
5.2792	1.7557959E-001
5.3138	2.6042718E-001
5.3484	3.3427012E-001
5.3830	3.7577903E-001
5.4176	3.8677248E-001
5.4522	3.7721825E-001
5.4868	3.5530072E-001
5.5214	3.2603255E-001
5.5559	2.9223070E-001
5.5905	2.5580871E-001
5.6251	2.1841314E-001
5.6597	1.8184978E-001
5.6943	1.4816430E-001
5.7289	1.1946053E-001
5.7635	9.7057380E-002
5.7981	8.0694765E-002
5.8327	6.8550669E-002
5.8673	5.8347210E-002
5.9019	4.8824843E-002
5.9364	4.0215079E-002
5.9710	3.3472408E-002
6.0056	2.9107250E-002
6.0402	2.6577000E-002
6.0748	2.4637587E-002
6.1094	2.2264671E-002
6.1440	1.9303508E-002
6.1786	1.6385412E-002
6.2132	1.4285358E-002
6.2478	1.3267674E-002
6.2824	1.2908985E-002
6.3169	1.2474515E-002
6.3515	1.1488795E-002
6.3861	1.0045176E-002
6.4207	8.6549157E-003
6.4553	7.8072068E-003
6.4899	7.5927149E-003
6.5245	7.6661655E-003
6.5591	7.5430204E-003
6.5937	6.9714896E-003
6.6283	6.0945884E-003
6.6629	5.3010462E-003
6.6974	4.9112751E-003
6.7320	4.9394635E-003
6.7666	5.1061390E-003
6.8012	5.0678393E-003
6.8358	4.6776715E-003
6.8704	4.0774089E-003
6.9050	3.5684251E-003
6.9396	3.3760665E-003
6.9742	3.4845006E-003
7.0088	3.6641958E-003
7.0433	3.6564951E-003
7.0779	3.3661751E-003
7.1125	2.9212569E-003
7.1471	2.5648556E-003
7.1817	2.4660914E-003
7.2163	2.6000040E-003
7.2509	2.7748547E-003
7.2855	2.7831013E-003
7.3201	2.5559086E-003
7.3547	2.2065975E-003
7.3893	1.9370482E-003
7.4238	1.8852624E-003
7.4584	2.0252380E-003
7.4930	2.1927708E-003
7.5276	2.2129437E-003
7.5622	2.0294264E-003
7.5968	1.7411094E-003
7.6314	1.5232995E-003
7.6660	1.4954387E-003
7.7006	1.6348768E-003
7.7352	1.7978370E-003
7.7698	1.8293269E-003
7.8043	1.6777234E-003
7.8389	1.4295637E-003
7.8735	1.2421618E-003
7.9081	1.2258252E-003
7.9427	1.3634537E-003
7.9773	1.5260173E-003
8.0119	1.5697235E-003
8.0465	1.4424772E-003
8.0811	1.2203642E-003
8.1157	1.0496192E-003
8.1503	1.0378844E-003
8.1848	1.1751073E-003
8.2194	1.3422543E-003
8.2540	1.4001082E-003
8.2886	1.2922490E-003
8.3232	1.0857846E-003
8.3578	9.2162954E-004
8.3924	9.1026304E-004
8.4270	1.0500255E-003
8.4616	1.2282254E-003
8.4962	1.3039249E-003
8.5308	1.2122609E-003
8.5653	1.0127603E-003
8.5999	8.4640010E-004
8.6345	8.3250477E-004
8.6691	9.7980839E-004
8.7037	1.1781527E-003
8.7383	1.2781746E-003
8.7729	1.2014998E-003
8.8075	1.0003980E-003
8.8421	8.2235801E-004
8.8767	8.0338790E-004
8.9113	9.6635678E-004
8.9458	1.1997578E-003
8.9804	1.3364436E-003
9.0150	1.2760290E-003
9.0496	1.0629938E-003
9.0842	8.6027058E-004
9.1188	8.3349913E-004
9.1534	1.0270999E-003
9.1880	1.3237133E-003
9.2226	1.5226407E-003
9.2572	1.4856319E-003
9.2917	1.2459812E-003
9.3263	9.9666952E-004
9.3609	9.5845433E-004
9.3955	1.2150346E-003
9.4301	1.6368090E-003
9.4647	1.9592869E-003
9.4993	1.9706471E-003
9.5339	1.6806826E-003
9.5685	1.3415387E-003
9.6031	1.2882939E-003
9.6377	1.6943546E-003
9.6722	2.4144403E-003
9.7068	3.0474360E-003
9.7414	3.2082256E-003
9.7760	2.8334016E-003
9.8106	2.3041191E-003
9.8452	2.2580931E-003
