Theta(deg)	Reflectivity
3.2225	2.8870571E-001
3.2470	3.1704730E-001
3.2715	3.2841268E-001
3.2960	3.2428086E-001
3.3205	3.0651617E-001
3.3450	2.7683103E-001
3.3695	2.3743825E-001
3.3940	1.9229819E-001
3.4185	1.4766732E-001
3.4430	1.1055879E-001
3.4675	8.4737666E-002
3.4920	6.8178661E-002
3.5165	5.5779278E-002
3.5410	4.4519011E-002
3.5655	3.4982521E-002
3.5900	2.8710820E-002
3.6145	2.5435079E-002
3.6390	2.3165114E-002
3.6635	2.0271281E-002
3.6880	1.6854879E-002
3.7125	1.4117292E-002
3.7370	1.2775928E-002
3.7615	1.2310271E-002
3.7860	1.1639277E-002
3.8105	1.0274085E-002
3.8350	8.6886054E-003
3.8595	7.6610344E-003
3.8840	7.4058850E-003
3.9085	7.4099111E-003
3.9330	7.0363362E-003
3.9575	6.1805272E-003
3.9820	5.3050951E-003
4.0065	4.8939516E-003
4.0310	4.9475753E-003
4.0555	5.0261556E-003
4.0800	4.7380333E-003
4.1045	4.1319653E-003
4.1290	3.6041781E-003
4.1535	3.4601868E-003
4.1780	3.6075606E-003
4.2025	3.6796378E-003
4.2270	3.4292259E-003
4.2515	2.9705632E-003
4.2760	2.6363973E-003
4.3005	2.6220230E-003
4.3250	2.7936588E-003
4.3495	2.8444752E-003
4.3740	2.6169291E-003
4.3985	2.2542335E-003
4.4230	2.0375967E-003
4.4475	2.0917286E-003
4.4720	2.2646522E-003
4.4965	2.2951660E-003
4.5210	2.0837097E-003
4.5455	1.7866985E-003
4.5700	1.6463442E-003
4.5945	1.7403021E-003
4.6190	1.9078532E-003
4.6435	1.9216152E-003
4.6680	1.7214868E-003
4.6925	1.4705684E-003
4.7170	1.3827946E-003
4.7415	1.5028568E-003
4.7660	1.6646715E-003
4.7905	1.6653069E-003
4.8150	1.4725151E-003
4.8395	1.2545491E-003
4.8640	1.2053879E-003
4.8885	1.3460490E-003
4.9130	1.5050663E-003
4.9375	1.4953198E-003
4.9620	1.3053974E-003
4.9865	1.1103885E-003
5.0110	1.0924489E-003
5.0355	1.2540644E-003
5.0600	1.4149589E-003
5.0845	1.3963680E-003
5.1090	1.2040851E-003
5.1335	1.0243319E-003
5.1580	1.0351550E-003
5.1825	1.2229512E-003
5.2070	1.3929857E-003
5.2315	1.3665518E-003
5.2560	1.1651963E-003
5.2805	9.9413621E-004
5.3050	1.0365725E-003
5.3295	1.2631542E-003
5.3540	1.4542576E-003
5.3785	1.4200776E-003
5.4030	1.1995060E-003
5.4275	1.0315587E-003
5.4520	1.1177798E-003
5.4765	1.4099024E-003
5.5010	1.6442398E-003
5.5255	1.6029198E-003
5.5500	1.3472034E-003
5.5745	1.1777800E-003
5.5990	1.3402019E-003
5.6235	1.7602090E-003
5.6480	2.0889840E-003
5.6725	2.0448694E-003
5.6970	1.7257760E-003
5.7215	1.5603262E-003
5.7460	1.8999500E-003
5.7705	2.6281946E-003
5.7950	3.2080982E-003
5.8195	3.1969671E-003
5.8440	2.7693731E-003
5.8685	2.6940741E-003
5.8930	3.6601038E-003
5.9175	5.5009103E-003
5.9420	7.1390602E-003
5.9665	7.5750011E-003
5.9910	7.2856587E-003
6.0155	8.8189570E-003
6.0400	1.5634282E-002
6.0645	2.9530060E-002
6.0890	4.8597183E-002
6.1135	6.7623846E-002
6.1380	8.0694206E-002
6.1625	8.3852090E-002
6.1870	7.6393291E-002
6.2115	6.0769394E-002
6.2360	4.1643772E-002
6.2605	2.4231508E-002
6.2850	1.2252740E-002
6.3095	6.4824680E-003
6.3340	4.9992604E-003
6.3585	4.9785194E-003
6.3830	4.5323903E-003
6.4075	3.3433160E-003
6.4320	2.0753993E-003
6.4565	1.3853902E-003
6.4810	1.3430323E-003
6.5055	1.5284658E-003
6.5300	1.5066473E-003
6.5545	1.1832668E-003
6.5790	7.8343658E-004
6.6035	5.7009718E-004
6.6280	6.0046342E-004
6.6525	7.1770203E-004
6.6770	7.3202461E-004
6.7015	5.9336371E-004
6.7260	4.0719871E-004
6.7505	3.0974497E-004
6.7750	3.3888404E-004
6.7995	4.1549900E-004
6.8240	4.3344512E-004
6.8485	3.5974241E-004
6.8730	2.5323578E-004
6.8975	1.9716058E-004
6.9220	2.1914487E-004
6.9465	2.7297655E-004
6.9710	2.9036199E-004
6.9955	2.4637041E-004
7.0200	1.7708378E-004
7.0445	1.3912399E-004
7.0690	1.5483044E-004
7.0935	1.9507819E-004
7.1180	2.1156215E-004
7.1425	1.8349742E-004
7.1670	1.3425840E-004
7.1915	1.0545091E-004
7.2160	1.1639984E-004
7.2405	1.4801182E-004
7.2650	1.6380155E-004
7.2895	1.4535931E-004
7.3140	1.0811506E-004
7.3385	8.4327636E-005
7.3630	9.1607995E-005
7.3875	1.1740036E-004
7.4120	1.3278937E-004
7.4365	1.2070701E-004
7.4610	9.1206508E-005
7.4855	7.0346818E-005
7.5100	7.4734002E-005
7.5345	9.6403761E-005
7.5590	1.1164090E-004
7.5835	1.0412493E-004
7.6080	7.9961726E-005
7.6325	6.0845410E-005
7.6570	6.2861196E-005
7.6815	8.1518046E-005
7.7060	9.6832053E-005
7.7305	9.2832415E-005
7.7550	7.2529947E-005
7.7795	5.4408276E-005
7.8040	5.4387328E-005
7.8285	7.0778769E-005
7.8530	8.6400738E-005
