 Iter       FoM   R_Na   R_Mg   R_Al   R_Si    Div  Best                    Time
    0    0.9297  0.251  0.318  0.381  0.221  0.290  Ru/Al d=41.3           0: 0
    1    1.2459  0.342  0.425  0.503  0.300  0.163  Ru/Al d=54.1           0: 0
    2    1.3374  0.383  0.467  0.544  0.326  0.167  Ru/Al d=65.2           0: 0
    3    1.3670  0.391  0.475  0.554  0.330  0.187  Ru/Al d=67.9           0: 0
    4    1.3670  0.391  0.475  0.554  0.330  0.194  Ru/Al d=67.9           0: 0
    5    1.3670  0.391  0.475  0.554  0.330  0.174  Ru/Al d=67.9           0: 1
    6    1.3799  0.389  0.471  0.549  0.329  0.167  Ru/Al d=68.1           0: 1
    7    1.3827  0.387  0.468  0.545  0.327  0.158  Ru/Al d=68.0           0: 1
    8    1.3827  0.387  0.468  0.545  0.327  0.147  Ru/Al d=68.0           0: 1
    9    1.3828  0.387  0.468  0.546  0.328  0.140  Ru/Al d=68.1           0: 1
   10    1.3831  0.387  0.468  0.545  0.328  0.134  Ru/Al d=68.1           0: 1
   11    1.3831  0.387  0.468  0.545  0.328  0.152  Ru/Al d=68.1           0: 1
   12    1.3831  0.387  0.468  0.545  0.328  0.141  Ru/Al d=68.1           0: 1
   13    1.3831  0.387  0.468  0.545  0.328  0.137  Ru/Al d=68.1           0: 1
   14    1.3831  0.387  0.468  0.545  0.328  0.102  Ru/Al d=68.1           0: 1
   15    1.3831  0.387  0.468  0.545  0.328  0.093  Ru/Al d=68.1           0: 1
   16    1.3831  0.387  0.468  0.545  0.328  0.060  Ru/Al d=68.1           0: 1
   17    1.3831  0.387  0.468  0.545  0.328  0.071  Ru/Al d=68.1           0: 1
   18    1.3831  0.387  0.468  0.545  0.328  0.075  Ru/Al d=68.1           0: 2
   19    1.3831  0.387  0.468  0.545  0.328  0.086  Ru/Al d=68.1           0: 2
   20    1.3831  0.387  0.468  0.545  0.328  0.072  Ru/Al d=68.1           0: 2
   21    1.3831  0.387  0.468  0.545  0.328  0.092  Ru/Al d=68.1           0: 2
   22    1.3831  0.387  0.468  0.545  0.328  0.093  Ru/Al d=68.1           0: 2
   23    1.3831  0.387  0.468  0.545  0.328  0.113  Ru/Al d=68.1           0: 2
   24    1.3831  0.387  0.468  0.545  0.328  0.102  Ru/Al d=68.1           0: 2
   25    1.3831  0.387  0.468  0.545  0.328  0.091  Ru/Al d=68.1           0: 2
   26    1.3832  0.387  0.468  0.545  0.328  0.062  Ru/Al d=68.1           0: 2
   27    1.3832  0.387  0.468  0.545  0.328  0.064  Ru/Al d=68.1           0: 2
   28    1.3832  0.387  0.468  0.545  0.328  0.065  Ru/Al d=68.1           0: 2
   29    1.3832  0.387  0.468  0.545  0.328  0.048  Ru/Al d=68.1           0: 2
   30    1.3832  0.387  0.468  0.545  0.328  0.046  Ru/Al d=68.1           0: 2
   31    1.3832  0.387  0.468  0.545  0.328  0.051  Ru/Al d=68.1           0: 3
   32    1.3832  0.387  0.468  0.545  0.328  0.062  Ru/Al d=68.1           0: 3
   33    1.3832  0.387  0.468  0.545  0.328  0.056  Ru/Al d=68.1           0: 3
   34    1.3832  0.387  0.468  0.545  0.328  0.049  Ru/Al d=68.1           0: 3
   35    1.3832  0.387  0.468  0.545  0.328  0.051  Ru/Al d=68.1           0: 3
   36    1.3832  0.387  0.468  0.545  0.328  0.054  Ru/Al d=68.1           0: 3
   37    1.3832  0.387  0.468  0.545  0.328  0.062  Ru/Al d=68.1           0: 3
   38    1.3832  0.387  0.468  0.545  0.328  0.032  Ru/Al d=68.1           0: 3
   39    1.3832  0.387  0.468  0.545  0.328  0.043  Ru/Al d=68.1           0: 3
   40    1.3832  0.387  0.468  0.545  0.328  0.055  Ru/Al d=68.1           0: 3
   41    1.3832  0.387  0.468  0.545  0.328  0.055  Ru/Al d=68.1           0: 3
   42    1.3832  0.387  0.468  0.545  0.328  0.044  Ru/Al d=68.1           0: 3
   43    1.3832  0.387  0.468  0.545  0.328  0.041  Ru/Al d=68.1           0: 3
   44    1.3832  0.387  0.468  0.545  0.328  0.065  Ru/Al d=68.1           0: 3
   45    1.3832  0.387  0.468  0.545  0.328  0.033  Ru/Al d=68.1           0: 3
   46    1.3832  0.387  0.468  0.545  0.328  0.031  Ru/Al d=68.1           0: 3
   47    1.3832  0.387  0.468  0.545  0.328  0.027  Ru/Al d=68.1           0: 3
   48    1.3832  0.387  0.468  0.545  0.328  0.040  Ru/Al d=68.1           0: 4
   49    1.3832  0.387  0.468  0.545  0.328  0.031  Ru/Al d=68.1           0: 4
   50    1.3832  0.387  0.468  0.545  0.328  0.038  Ru/Al d=68.1           0: 4
   51    1.3832  0.387  0.468  0.545  0.328  0.053  Ru/Al d=68.1           0: 4
   52    1.3832  0.387  0.468  0.545  0.328  0.036  Ru/Al d=68.1           0: 4
   53    1.3832  0.387  0.468  0.545  0.328  0.063  Ru/Al d=68.1           0: 4
   54    1.3832  0.387  0.468  0.545  0.328  0.032  Ru/Al d=68.1           0: 4
   55    1.3832  0.387  0.468  0.545  0.328  0.036  Ru/Al d=68.1           0: 4
   56    1.3832  0.387  0.468  0.545  0.328  0.051  Ru/Al d=68.1           0: 4
   57    1.3832  0.387  0.468  0.545  0.328  0.054  Ru/Al d=68.1           0: 4
   58    1.3832  0.387  0.468  0.545  0.328  0.033  Ru/Al d=68.1           0: 4
   59    1.3832  0.387  0.468  0.545  0.328  0.048  Ru/Al d=68.1           0: 4
   60    1.3832  0.387  0.468  0.545  0.328  0.025  Ru/Al d=68.1           0: 4
   61    1.3832  0.387  0.468  0.545  0.328  0.035  Ru/Al d=68.1           0: 4
   62    1.3832  0.387  0.468  0.545  0.328  0.033  Ru/Al d=68.1           0: 4
   63    1.3832  0.387  0.468  0.545  0.328  0.027  Ru/Al d=68.1           0: 4
   64    1.3832  0.387  0.468  0.545  0.328  0.021  Ru/Al d=68.1           0: 5
   65    1.3832  0.387  0.468  0.545  0.328  0.022  Ru/Al d=68.1           0: 5
   66    1.3832  0.387  0.468  0.545  0.328  0.018  Ru/Al d=68.1           0: 5
   67    1.3832  0.387  0.468  0.545  0.328  0.014  Ru/Al d=68.1           0: 5
   68    1.3832  0.387  0.468  0.545  0.328  0.020  Ru/Al d=68.1           0: 5
   69    1.3832  0.387  0.468  0.545  0.328  0.021  Ru/Al d=68.1           0: 5
   70    1.3832  0.387  0.468  0.545  0.328  0.025  Ru/Al d=68.1           0: 5
   71    1.3832  0.387  0.468  0.545  0.328  0.018  Ru/Al d=68.1           0: 5
   72    1.3832  0.387  0.468  0.545  0.328  0.013  Ru/Al d=68.1           0: 5
   73    1.3832  0.387  0.468  0.545  0.328  0.012  Ru/Al d=68.1           0: 5
   74    1.3832  0.387  0.468  0.545  0.328  0.017  Ru/Al d=68.1           0: 5
   75    1.3832  0.387  0.468  0.545  0.328  0.011  Ru/Al d=68.1           0: 5
   76    1.3832  0.387  0.468  0.545  0.328  0.008  Ru/Al d=68.1           0: 5
   77    1.3832  0.387  0.468  0.545  0.328  0.012  Ru/Al d=68.1           0: 5
   78    1.3832  0.387  0.468  0.545  0.328  0.010  Ru/Al d=68.1           0: 5
   79    1.3832  0.387  0.468  0.545  0.328  0.004  Ru/Al d=68.1           0: 5
   80    1.3832  0.387  0.468  0.545  0.328  0.007  Ru/Al d=68.1           0: 5
   81    1.3832  0.387  0.468  0.545  0.328  0.073  Ru/Al d=68.1           0: 6
   82    1.3832  0.387  0.468  0.545  0.328  0.075  Ru/Al d=68.1           0: 6
   83    1.3832  0.387  0.468  0.545  0.328  0.073  Ru/Al d=68.1           0: 6
   84    1.3832  0.387  0.468  0.545  0.328  0.062  Ru/Al d=68.1           0: 6
   85    1.3832  0.387  0.468  0.545  0.328  0.065  Ru/Al d=68.1           0: 6
   86    1.3832  0.387  0.468  0.545  0.328  0.054  Ru/Al d=68.1           0: 6
   87    1.3832  0.387  0.468  0.545  0.328  0.070  Ru/Al d=68.1           0: 6
   88    1.3832  0.387  0.468  0.545  0.328  0.070  Ru/Al d=68.1           0: 6
   89    1.3832  0.387  0.468  0.545  0.328  0.068  Ru/Al d=68.1           0: 6
   90    1.3832  0.387  0.468  0.545  0.328  0.072  Ru/Al d=68.1           0: 6
   91    1.3832  0.387  0.468  0.545  0.328  0.056  Ru/Al d=68.1           0: 7
   92    1.3832  0.387  0.468  0.545  0.328  0.070  Ru/Al d=68.1           0: 7
   93    1.3832  0.387  0.468  0.545  0.328  0.069  Ru/Al d=68.1           0: 7
   94    1.3832  0.387  0.468  0.545  0.328  0.035  Ru/Al d=68.1           0: 7
   95    1.3832  0.387  0.468  0.545  0.328  0.036  Ru/Al d=68.1           0: 7
   96    1.3832  0.387  0.468  0.545  0.328  0.031  Ru/Al d=68.1           0: 7
   97    1.3832  0.387  0.468  0.545  0.328  0.035  Ru/Al d=68.1           0: 7
   98    1.3832  0.387  0.468  0.545  0.328  0.024  Ru/Al d=68.1           0: 7
   99    1.3832  0.387  0.468  0.545  0.328  0.021  Ru/Al d=68.1           0: 7
  100    1.3832  0.387  0.468  0.545  0.328  0.022  Ru/Al d=68.1           0: 7
